indice,data,horario,POX
"460","2018-09-13","20:39:00","463"
"461","2018-09-13","20:39:00","474"
"462","2018-09-13","20:39:00","483"
"463","2018-09-13","20:39:00","489"
"464","2018-09-13","20:39:00","490"
"465","2018-09-13","20:39:00","493"
"466","2018-09-13","20:39:00","487"
"467","2018-09-13","20:39:00","471"
"468","2018-09-13","20:39:00","464"
"469","2018-09-13","20:39:00","466"
"470","2018-09-13","20:39:00","450"
"471","2018-09-13","20:39:00","442"
"472","2018-09-13","20:39:00","439"
"473","2018-09-13","20:39:00","429"
"474","2018-09-13","20:39:00","429"
"475","2018-09-13","20:39:00","426"
"476","2018-09-13","20:39:00","426"
"477","2018-09-13","20:39:00","417"
"478","2018-09-13","20:39:00","421"
"479","2018-09-13","20:39:00","424"
"480","2018-09-13","20:39:00","432"
"481","2018-09-13","20:39:00","435"
"482","2018-09-13","20:39:00","440"
"483","2018-09-13","20:39:00","439"
"484","2018-09-13","20:39:00","441"
"485","2018-09-13","20:39:00","444"
"486","2018-09-13","20:39:00","435"
"487","2018-09-13","20:39:00","436"
"488","2018-09-13","20:39:00","437"
"489","2018-09-13","20:39:00","467"
"490","2018-09-13","20:39:00","477"
"491","2018-09-13","20:39:00","477"
"492","2018-09-13","20:39:00","475"
"493","2018-09-13","20:39:00","470"
"494","2018-09-13","20:39:00","466"
"495","2018-09-13","20:39:00","465"
"496","2018-09-13","20:39:00","456"
"497","2018-09-13","20:39:00","470"
"498","2018-09-13","20:39:00","491"
"499","2018-09-13","20:39:00","527"
"500","2018-09-13","20:39:00","613"
"501","2018-09-13","20:39:00","660"
"502","2018-09-13","20:39:00","708"
"503","2018-09-13","20:39:00","740"
"504","2018-09-13","20:39:00","769"
"505","2018-09-13","20:39:00","767"
"506","2018-09-13","20:39:00","768"
"507","2018-09-13","20:39:00","753"
"508","2018-09-13","20:39:00","734"
"509","2018-09-13","20:39:00","702"
"510","2018-09-13","20:39:00","616"
"511","2018-09-13","20:39:00","585"
"512","2018-09-13","20:39:00","542"
"513","2018-09-13","20:39:00","514"
"514","2018-09-13","20:39:00","478"
"515","2018-09-13","20:39:00","458"
"516","2018-09-13","20:39:00","443"
"517","2018-09-13","20:39:00","433"
"518","2018-09-13","20:39:00","451"
"519","2018-09-13","20:39:00","439"
"520","2018-09-13","20:39:00","430"
"521","2018-09-13","20:39:00","431"
"522","2018-09-13","20:39:00","443"
"523","2018-09-13","20:39:00","450"
"524","2018-09-13","20:39:00","451"
"525","2018-09-13","20:39:00","471"
"526","2018-09-13","20:39:00","495"
"527","2018-09-13","20:39:00","511"
"528","2018-09-13","20:39:00","532"
"529","2018-09-13","20:39:00","546"
"530","2018-09-13","20:39:00","571"
"531","2018-09-13","20:39:00","574"
"532","2018-09-13","20:39:00","571"
"533","2018-09-13","20:39:00","565"
"534","2018-09-13","20:39:00","549"
"535","2018-09-13","20:39:00","542"
"536","2018-09-13","20:39:00","532"
"537","2018-09-13","20:39:00","521"
"538","2018-09-13","20:39:00","508"
"539","2018-09-13","20:39:00","495"
"540","2018-09-13","20:39:00","473"
"541","2018-09-13","20:39:00","464"
"542","2018-09-13","20:39:00","461"
"543","2018-09-13","20:39:00","438"
"544","2018-09-13","20:39:00","440"
"545","2018-09-13","20:39:00","439"
"546","2018-09-13","20:39:00","442"
"547","2018-09-13","20:39:00","473"
"548","2018-09-13","20:39:00","471"
"549","2018-09-13","20:39:00","473"
"550","2018-09-13","20:39:00","470"
"551","2018-09-13","20:39:00","466"
"552","2018-09-13","20:39:00","457"
"553","2018-09-13","20:39:00","447"
"554","2018-09-13","20:39:00","446"
"555","2018-09-13","20:39:00","447"
"556","2018-09-13","20:39:00","443"
"557","2018-09-13","20:39:00","449"
"558","2018-09-13","20:39:00","453"
"559","2018-09-13","20:39:00","473"
"560","2018-09-13","20:39:00","535"
"561","2018-09-13","20:39:00","575"
"562","2018-09-13","20:39:00","605"
